customer_id,customer_name,age,gender,city,state,account_type,join_date,balance,age_group
C00109,Manikya Sem,57,Male,Pune,Maharashtra,Current,2022-04-09,269196,51-60
C00110,Miraan Banerjee,36,Male,Hyderabad,Telangana,Savings,2025-11-27,478010,31-40
C00111,Devansh Sankar,27,Female,Kochi,Kerala,Savings,2025-12-20,102215,21-30
C00112,Eshani Shah,54,Female,Kochi,Kerala,Savings,2021-11-02,302241,51-60
C00113,Dishani Butala,28,Female,Coimbatore,Tamil Nadu,Savings,2026-03-08,430173,21-30
C00114,Anaya Rastogi,54,Female,Hyderabad,Telangana,Current,2021-08-26,331206,51-60
C00115,Aniruddh Sahota,53,Female,Kochi,Kerala,Current,2021-07-02,480395,51-60
C00116,Tarini Dara,51,Female,Coimbatore,Tamil Nadu,Current,2024-11-03,404147,51-60
C00117,Hunar Mani,38,Female,Coimbatore,Tamil Nadu,Savings,2024-06-15,153968,31-40
C00118,Aayush Rattan,25,Female,Hyderabad,Telangana,Savings,2026-04-25,152456,21-30
C00119,Aarna Ram,41,Male,Bangalore,Karnataka,Savings,2022-06-22,89078,41-50
C00120,Divij Varkey,45,Male,Coimbatore,Tamil Nadu,Savings,2026-01-04,43674,41-50
C00121,Anay Batra,47,Female,Hyderabad,Telangana,Current,2026-05-14,227985,41-50
C00122,Armaan Lad,34,Female,Chennai,Tamil Nadu,Current,2026-02-02,484395,31-40
C00123,Hiran Gulati,58,Male,Kochi,Kerala,Current,2025-09-02,260074,51-60
C00124,Sana Sibal,43,Female,Chennai,Tamil Nadu,Current,2024-08-10,457452,41-50
C00125,Vritika Maharaj,47,Male,Kochi,Kerala,Current,2023-01-26,125040,41-50
C00126,Umang Vig,48,Female,Bangalore,Karnataka,Savings,2024-01-16,213873,41-50
C00127,Vivaan Choudhary,46,Male,Bangalore,Karnataka,Current,2024-08-19,492104,41-50
C00128,Trisha Deshmukh,60,Male,Coimbatore,Tamil Nadu,Current,2026-01-14,320322,51-60
C00129,Nayantara Basak,22,Male,Mumbai,Maharashtra,Current,2024-08-08,81145,21-30
C00130,Advika Acharya,50,Male,Kochi,Kerala,Savings,2023-07-23,146396,41-50
C00131,Nishith Khosla,41,Male,Hyderabad,Telangana,Current,2025-12-18,181361,41-50
C00132,Divit Garde,45,Female,Bangalore,Karnataka,Current,2022-05-25,142262,41-50
C00133,Vihaan Balasubramanian,26,Female,Kochi,Kerala,Savings,2021-12-18,402704,21-30
C00134,Hazel Anne,24,Female,Mumbai,Maharashtra,Savings,2024-08-09,350862,21-30
C00135,Aayush Mall,23,Male,Chennai,Tamil Nadu,Savings,2021-08-15,114522,21-30
C00136,Jiya Gandhi,22,Male,Kochi,Kerala,Savings,2023-10-12,76176,21-30
C00137,Kiara Guha,28,Male,Hyderabad,Telangana,Current,2022-06-11,376721,21-30
C00138,Ivana Shanker,44,Male,Bangalore,Karnataka,Savings,2026-04-19,417786,41-50
C00139,Manikya Gola,31,Female,Kochi,Kerala,Savings,2022-08-02,313397,31-40
C00140,Zoya Chowdhury,40,Female,Chennai,Tamil Nadu,Current,2022-07-18,384873,31-40
C00141,Aarush Arya,25,Male,Coimbatore,Tamil Nadu,Savings,2022-11-08,375529,21-30
C00142,Alia Bhattacharyya,40,Male,Kochi,Kerala,Savings,2025-09-16,192034,31-40
C00143,Miraan Chada,48,Female,Mumbai,Maharashtra,Savings,2026-04-04,275269,41-50
C00144,Indrans Bala,42,Male,Pune,Maharashtra,Current,2025-04-13,441138,41-50
C00145,Hansh Walla,27,Female,Hyderabad,Telangana,Current,2024-10-16,343229,21-30
C00146,Veer Ghose,50,Male,Kochi,Kerala,Current,2021-10-15,102346,41-50
C00147,Shamik Dass,54,Female,Pune,Maharashtra,Current,2021-12-09,253727,51-60
C00148,Misha Dash,58,Female,Hyderabad,Telangana,Current,2024-11-16,456542,51-60
C00149,Indrans Jhaveri,26,Female,Coimbatore,Tamil Nadu,Current,2024-07-09,137854,21-30
C00150,Ritvik Bansal,50,Female,Kochi,Kerala,Current,2025-05-02,25047,41-50
C00151,Tara Borah,41,Male,Hyderabad,Telangana,Current,2025-08-03,121211,41-50
C00152,Kiara Aggarwal,37,Female,Bangalore,Karnataka,Current,2024-03-24,471541,31-40
C00153,Aarush Salvi,38,Male,Mumbai,Maharashtra,Savings,2023-11-18,54885,31-40
C00154,Reyansh Bahl,47,Female,Coimbatore,Tamil Nadu,Savings,2022-08-15,372078,41-50
C00155,Neelofar Sarna,52,Female,Hyderabad,Telangana,Savings,2025-02-02,58786,51-60
C00156,Aaina Sha,35,Female,Bangalore,Karnataka,Savings,2024-04-06,170540,31-40
C00157,Saanvi Ray,58,Female,Pune,Maharashtra,Current,2021-12-01,300179,51-60
C00158,Nirvaan Bhatt,43,Female,Mumbai,Maharashtra,Current,2022-01-13,194450,41-50
C00159,Pranay Gupta,50,Female,Pune,Maharashtra,Current,2021-10-12,141807,41-50
C00160,Riya Jha,28,Male,Coimbatore,Tamil Nadu,Current,2022-05-02,72681,21-30
C00161,Ela Shenoy,55,Male,Pune,Maharashtra,Savings,2025-06-20,123447,51-60
C00162,Akarsh Ram,51,Female,Pune,Maharashtra,Current,2022-09-14,62704,51-60
C00163,Anvi Mane,33,Female,Kochi,Kerala,Savings,2026-03-23,199205,31-40
C00164,Ryan Buch,40,Male,Coimbatore,Tamil Nadu,Savings,2021-12-21,153818,31-40
C00165,Arnav Baria,24,Female,Chennai,Tamil Nadu,Savings,2023-11-22,344427,21-30
C00166,Prisha Das,52,Male,Kochi,Kerala,Savings,2025-12-13,310974,51-60
C00167,Zoya Chand,51,Female,Bangalore,Karnataka,Current,2024-03-19,188628,51-60
C00168,Dhanuk Sankaran,24,Female,Coimbatore,Tamil Nadu,Current,2025-02-25,69814,21-30
C00169,Piya Sangha,25,Female,Kochi,Kerala,Current,2025-08-08,48840,21-30
C00170,Samar Swamy,24,Male,Mumbai,Maharashtra,Savings,2024-07-25,435272,21-30
C00171,Ayesha Krishnamurthy,40,Male,Mumbai,Maharashtra,Savings,2021-08-04,72102,31-40
C00172,Tara Barad,47,Male,Mumbai,Maharashtra,Current,2023-02-07,246199,41-50
C00173,Yashvi Kala,40,Female,Hyderabad,Telangana,Current,2025-06-21,308125,31-40
C00174,Advik Luthra,24,Male,Mumbai,Maharashtra,Savings,2023-06-19,337950,21-30
C00175,Darshit Seth,37,Male,Coimbatore,Tamil Nadu,Savings,2024-08-08,135758,31-40
C00176,Neysa Halder,56,Male,Coimbatore,Tamil Nadu,Savings,2025-10-11,11402,51-60
C00177,Samaira Bajwa,49,Female,Hyderabad,Telangana,Current,2021-12-14,27112,41-50
C00178,Lavanya Lall,39,Female,Coimbatore,Tamil Nadu,Current,2022-09-03,47318,31-40
C00179,Alia Chada,35,Female,Pune,Maharashtra,Savings,2022-02-22,232895,31-40
C00180,Reyansh Arya,55,Male,Chennai,Tamil Nadu,Savings,2022-04-19,486269,51-60
C00181,Kiara Ratti,30,Male,Bangalore,Karnataka,Savings,2024-09-28,96991,21-30
C00182,Chirag Ganesh,40,Female,Kochi,Kerala,Current,2024-05-20,75197,31-40
C00183,Raghav Sen,40,Female,Hyderabad,Telangana,Current,2024-06-30,272391,31-40
C00184,Rohan Hayre,52,Female,Mumbai,Maharashtra,Savings,2023-05-03,323543,51-60
C00185,Keya Chada,48,Female,Chennai,Tamil Nadu,Current,2024-01-11,23560,41-50
C00186,Romil Wadhwa,35,Male,Chennai,Tamil Nadu,Current,2023-08-19,312119,31-40
C00187,Sumer Dugar,32,Female,Chennai,Tamil Nadu,Current,2024-11-25,490285,31-40
C00188,Suhana Grover,32,Female,Bangalore,Karnataka,Current,2025-03-25,57837,31-40
C00189,Advika Hegde,43,Female,Hyderabad,Telangana,Current,2025-01-14,178326,41-50
C00190,Veer Amble,27,Male,Pune,Maharashtra,Current,2023-06-25,225820,21-30
C00191,Hrishita Zachariah,52,Female,Pune,Maharashtra,Current,2026-01-03,436542,51-60
C00192,Saksham Sur,56,Male,Kochi,Kerala,Current,2024-01-17,56168,51-60
C00193,Jivin Kota,37,Female,Bangalore,Karnataka,Savings,2024-10-20,415037,31-40
C00194,Lakshit Saxena,53,Male,Hyderabad,Telangana,Current,2022-02-21,226660,51-60
C00195,Taran Chokshi,33,Female,Chennai,Tamil Nadu,Current,2026-03-20,337894,31-40
C00196,Kabir Lala,24,Male,Hyderabad,Telangana,Current,2024-03-04,297949,21-30
C00197,Samarth Sagar,39,Female,Coimbatore,Tamil Nadu,Current,2023-01-24,73662,31-40
C00198,Nakul Dugar,59,Male,Chennai,Tamil Nadu,Savings,2024-11-16,172922,51-60
C00199,Prisha Sem,21,Female,Mumbai,Maharashtra,Savings,2023-01-11,127807,21-30
C00200,Taimur Baral,28,Female,Kochi,Kerala,Savings,2025-04-08,349586,21-30
C00201,Shlok Dass,30,Female,Kochi,Kerala,Current,2024-12-11,276795,21-30
C00202,Tejas Vig,38,Female,Pune,Maharashtra,Current,2023-02-17,257579,31-40
C00203,Farhan Grewal,50,Male,Coimbatore,Tamil Nadu,Current,2025-05-14,109934,41-50
C00204,Amani Wable,53,Male,Mumbai,Maharashtra,Savings,2023-10-13,154833,51-60
C00205,Indrajit Ramesh,47,Female,Kochi,Kerala,Current,2023-06-27,440204,41-50
C00206,Alisha Lata,39,Female,Chennai,Tamil Nadu,Current,2021-12-15,463645,31-40
C00207,Manikya Mangal,49,Female,Coimbatore,Tamil Nadu,Current,2024-02-20,184294,41-50
C00208,Parinaaz Kothari,55,Female,Mumbai,Maharashtra,Current,2024-10-08,499083,51-60
C00209,Jayan Chand,33,Male,Bangalore,Karnataka,Current,2021-11-13,132453,31-40
C00210,Kiaan Dhar,47,Male,Kochi,Kerala,Current,2024-07-19,400439,41-50
C00211,Kimaya Warrior,45,Female,Hyderabad,Telangana,Savings,2023-05-03,269694,41-50
C00212,Neelofar Bhardwaj,29,Female,Chennai,Tamil Nadu,Savings,2024-08-05,468327,21-30
C00213,Yuvraj  Sridhar,49,Male,Kochi,Kerala,Current,2026-03-13,18046,41-50
C00214,Diya Ganesan,30,Female,Pune,Maharashtra,Savings,2023-03-07,49231,21-30
C00215,Myra Ramakrishnan,37,Female,Hyderabad,Telangana,Current,2026-02-20,350701,31-40
C00216,Kashvi Mane,42,Female,Chennai,Tamil Nadu,Current,2022-01-09,338623,41-50
C00217,Nakul Singh,52,Male,Pune,Maharashtra,Savings,2022-01-01,133087,51-60
C00218,Piya Shetty,39,Male,Pune,Maharashtra,Savings,2023-03-02,237526,31-40
C00219,Neysa Gade,27,Female,Chennai,Tamil Nadu,Savings,2025-04-18,373856,21-30
C00220,Rati Bhat,22,Male,Bangalore,Karnataka,Current,2025-01-05,427408,21-30
C00221,Rania Sandal,39,Female,Chennai,Tamil Nadu,Current,2025-04-20,235803,31-40
C00222,Miraan Kaul,36,Female,Coimbatore,Tamil Nadu,Savings,2023-07-17,99120,31-40
C00223,Kartik Mahal,26,Female,Coimbatore,Tamil Nadu,Savings,2024-10-01,270920,21-30
C00224,Ishita Bansal,30,Male,Mumbai,Maharashtra,Current,2026-03-04,344445,21-30
C00225,Mamooty Kalita,50,Female,Bangalore,Karnataka,Savings,2023-07-16,481286,41-50
C00226,Ivana Lad,50,Female,Kochi,Kerala,Savings,2023-07-25,48724,41-50
C00227,Amira Bala,43,Female,Hyderabad,Telangana,Current,2023-02-18,371923,41-50
C00228,Saksham Solanki,50,Female,Bangalore,Karnataka,Savings,2026-01-22,211690,41-50
C00229,Kiaan Venkataraman,51,Male,Kochi,Kerala,Savings,2022-10-28,209944,51-60
C00230,Divij Kapoor,43,Female,Mumbai,Maharashtra,Current,2025-06-08,21502,41-50
C00231,Dhanuk Thakur,46,Female,Kochi,Kerala,Savings,2023-02-18,306709,41-50
C00232,Jivin Setty,24,Female,Kochi,Kerala,Current,2024-07-27,416711,21-30
C00233,Shaan Sharma,35,Female,Kochi,Kerala,Savings,2022-02-04,343771,31-40
C00234,Dhruv Bhat,60,Female,Coimbatore,Tamil Nadu,Savings,2023-02-04,339382,51-60
C00235,Raunak Bala,23,Female,Chennai,Tamil Nadu,Current,2023-04-03,27492,21-30
C00236,Jivin Srinivas,44,Male,Mumbai,Maharashtra,Savings,2024-10-01,486906,41-50
C00237,Manjari Tata,41,Female,Bangalore,Karnataka,Savings,2025-04-14,115274,41-50
C00238,Taran Mall,55,Female,Coimbatore,Tamil Nadu,Current,2024-01-31,445406,51-60
C00239,Nehmat Shukla,37,Female,Coimbatore,Tamil Nadu,Current,2021-05-28,401412,31-40
C00240,Stuvan Dash,42,Male,Kochi,Kerala,Current,2025-03-26,49478,41-50
C00241,Kartik Baral,35,Female,Coimbatore,Tamil Nadu,Current,2022-01-18,57344,31-40
C00242,Shlok Dhaliwal,46,Male,Kochi,Kerala,Current,2023-05-04,291318,41-50
C00243,Kanav Chaudhary,50,Female,Chennai,Tamil Nadu,Current,2021-05-17,316477,41-50
C00244,Arnav Baral,44,Male,Hyderabad,Telangana,Savings,2021-07-06,257189,41-50
C00245,Tushar Atwal,60,Female,Chennai,Tamil Nadu,Savings,2025-09-12,349556,51-60
C00246,Zara Mannan,50,Female,Chennai,Tamil Nadu,Current,2022-09-02,71171,41-50
C00247,Sara Kannan,23,Male,Coimbatore,Tamil Nadu,Current,2026-03-07,268277,21-30
C00248,Jivika Gour,27,Male,Chennai,Tamil Nadu,Savings,2023-01-26,213762,21-30
C00249,Pranay Soman,44,Female,Hyderabad,Telangana,Savings,2024-11-23,474211,41-50
C00250,Vritika Babu,27,Female,Hyderabad,Telangana,Current,2026-04-19,156664,21-30
C00251,Diya Lata,44,Male,Chennai,Tamil Nadu,Current,2022-05-24,243148,41-50
C00252,Dhanush Lall,44,Male,Coimbatore,Tamil Nadu,Current,2022-11-30,295456,41-50
C00253,Aarna De,43,Male,Pune,Maharashtra,Current,2021-08-12,154641,41-50
C00254,Ishita Lad,28,Female,Coimbatore,Tamil Nadu,Savings,2024-01-02,357481,21-30
C00255,Ritvik Sheth,59,Male,Coimbatore,Tamil Nadu,Savings,2022-10-29,422506,51-60
C00256,Parinaaz Khosla,36,Male,Bangalore,Karnataka,Savings,2025-01-07,45971,31-40
C00257,Jhanvi Dalal,56,Male,Kochi,Kerala,Savings,2022-05-15,436273,51-60
C00258,Ritvik Tailor,35,Female,Kochi,Kerala,Savings,2021-10-18,423476,31-40
C00259,Neysa Bains,21,Female,Mumbai,Maharashtra,Savings,2023-08-10,78153,21-30
C00260,Ryan Tara,37,Male,Mumbai,Maharashtra,Savings,2023-01-13,356584,31-40
C00261,Taran Soni,22,Male,Kochi,Kerala,Savings,2022-05-28,197822,21-30
C00262,Miraya Shankar,36,Female,Kochi,Kerala,Savings,2025-11-29,101355,31-40
C00263,Eshani Dugar,24,Male,Bangalore,Karnataka,Current,2025-12-27,285820,21-30
C00264,Uthkarsh Ahluwalia,25,Female,Chennai,Tamil Nadu,Current,2026-01-11,417904,21-30
C00265,Dishani Krishnamurthy,53,Male,Bangalore,Karnataka,Current,2026-02-15,274156,51-60
C00266,Ela Zachariah,60,Male,Coimbatore,Tamil Nadu,Current,2022-10-10,250146,51-60
C00267,Reyansh Agarwal,22,Male,Pune,Maharashtra,Current,2025-11-14,454228,21-30
C00268,Jayesh Deshmukh,48,Male,Hyderabad,Telangana,Current,2022-10-01,383503,41-50
C00269,Shalv Banik,25,Male,Hyderabad,Telangana,Current,2023-08-19,328923,21-30
C00270,Riaan Venkatesh,25,Male,Coimbatore,Tamil Nadu,Current,2023-01-12,337322,21-30
C00271,Shaan Khurana,58,Female,Pune,Maharashtra,Current,2023-10-12,323205,51-60
C00272,Dhanush De,39,Female,Mumbai,Maharashtra,Current,2022-01-23,61998,31-40
C00273,Rati Shetty,28,Male,Kochi,Kerala,Current,2025-11-10,246744,21-30
C00274,Reyansh Dutt,47,Female,Coimbatore,Tamil Nadu,Current,2022-04-29,219049,41-50
C00275,Mishti Bail,27,Female,Hyderabad,Telangana,Current,2021-07-11,173852,21-30
C00276,Miraan Verma,37,Female,Pune,Maharashtra,Savings,2023-03-31,370092,31-40
C00277,Aniruddh Bora,25,Male,Hyderabad,Telangana,Savings,2023-11-03,58879,21-30
C00278,Himmat Kala,27,Female,Hyderabad,Telangana,Savings,2021-07-20,301698,21-30
C00279,Divij Bahri,58,Female,Chennai,Tamil Nadu,Savings,2021-08-04,225382,51-60
C00280,Anya Venkatesh,48,Male,Bangalore,Karnataka,Current,2022-04-19,324787,41-50
C00281,Jhanvi Singhal,43,Male,Bangalore,Karnataka,Savings,2021-06-21,91123,41-50
C00282,Pranay Behl,51,Male,Pune,Maharashtra,Savings,2023-09-30,193560,51-60
C00283,Tara Tripathi,56,Female,Kochi,Kerala,Savings,2025-11-25,409824,51-60
C00284,Mohanlal Ramachandran,57,Male,Bangalore,Karnataka,Current,2023-08-14,453104,51-60
C00285,Hridaan Shanker,60,Male,Mumbai,Maharashtra,Current,2026-02-19,25179,51-60
C00286,Charvi Mahajan,38,Female,Coimbatore,Tamil Nadu,Current,2022-10-29,194037,31-40
C00287,Rasha Kant,32,Male,Chennai,Tamil Nadu,Current,2021-08-21,46482,31-40
C00288,Aayush Doctor,22,Male,Coimbatore,Tamil Nadu,Savings,2023-04-01,207234,21-30
C00289,Shaan Saran,50,Female,Hyderabad,Telangana,Savings,2022-11-02,204014,41-50
